,job_title,company_name,area,city,country,job_type,job_state,exp_level,exp_years,job_category,skills,posted
0,AI Data Science and Machine Learning Instructor,CLS Learning Solutions,Dokki,Giza,Egypt ,Part Time,On-site,Experienced,3 - 15 Yrs of Exp,Training/Instructor,Deep Learning Data Science Python Natural Language Processing Neural Networks Training Teaching,20 days ago
1,Machine Learning Engineer,Citylogix ME,New Cairo,Cairo,Egypt ,Part Time,On-site,Experienced,7 - 11 Yrs of Exp,IT/Software Development,Computer Science Programming Python TensorFlow PyTorch Data visualization,26 days ago
2,Machine Learning Engineer,WUZZUF,Maadi,Cairo,Egypt ,Part Time,On-site,Experienced,2 - 4 Yrs of Exp,IT/Software Development,Python ElasticSearch Machine Learning Web Development Pandas Information Retrieval Recommender Systems,1 month ago
3,Senior AI Engineer,Lumin,Sheikh Zayed,Giza,Egypt ,Part Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,Computer Vision Machine Learning TensorFlow Python Computer Science Programming PyTorch,10 days ago
4,AI Engineer,Paxerahealth Corp,Not mentioned,Cairo,Egypt ,Part Time,On-site,Experienced,3 - 5 Yrs of Exp,IT/Software Development,AI Computer Science Information Technology (IT) Machine Learning Programming Frameworks Artificial Intelligence,1 month ago
5,Senior Developer - Enterprise Software,eT3,New Cairo,Cairo,Egypt ,Part Time,On-site,Experienced,4+ Yrs of Exp,IT/Software Development,Computer Science Fullstack Frontend Development HTML CSS javaScript Backend Development,1 month ago
6,Second Level Technical Support Engineer,3D Diagnostix,Maadi,Cairo,Egypt ,Part Time,On-site,Entry Level,0 - 5 Yrs of Exp,Installation/Maintenance/Repair,HTML PHP javaScript Information Technology (IT) Computer Science Engineering Troubleshooting,1 month ago
7,AI and Robotics Instructor,MICA,Haram,Giza,Egypt ,Part Time,On-site,Entry Level,Education/Teaching,Training/Instructor,Engineering Python Robotics Instructor Education Teaching,2 months ago
8,DevOps Engineer,34ML,Heliopolis,Cairo,Egypt ,Part Time,On-site,Entry Level,0 - 3 Yrs of Exp,IT/Software Development,Information Technology (IT) MEAN Stack Mobile Development Objective-C Software Design Web Development Web Design,2 months ago
9,Graduate Internship: Enterprise Software Engineering,eT3,New Cairo,Cairo,Egypt ,Part Time,On-site,Entry Level,0 - 1 Yrs of Exp,IT/Software Development,Software Development Software Engineering Computer Engineering Backend Development Frontend Development 	Software Testing Data Engineering,2 months ago
10,Learning & Development Digitalization Manager,Almarai,Not mentioned,Riyadh,Saudi Arabia ,Part Time,On-site,Entry Level,IT/Software Development,Engineering - Telecom/Technology,Learning Training Information Technology (IT) Computer Science Teaching E-Learning,5 days ago
11,AI Intern,Barkotel,Sheraton,Cairo,Egypt ,Part Time,On-site,Entry Level,0 - 1 Yrs of Exp,IT/Software Development,Artificial Intelligence Computer Science Software Engineering Machine Learning Computer Vision Programming,2 months ago
12,Learning & Development Management Supervisor,"Zakat, Tax and Customs Authority",Not mentioned,Riyadh,Saudi Arabia ,Part Time,On-site,Experienced,IT/Software Development,Engineering - Telecom/Technology,Learning Training Information Technology (IT) Computer Science Teaching E-Learning,28 days ago
13,Data Scientist,SupportFinity™,Not mentioned,Dubai,United Arab Emirates ,Part Time,On-site,Entry Level,IT/Software Development,Analyst/Research,Computer Science Information Technology (IT) SQL Data Science Data Scientist Machine Learning,2 days ago
14,AI Engineer - Saudi Arabia,Yeah! Global,Not mentioned,Riyadh,Saudi Arabia ,Part Time,On-site,Entry Level,IT/Software Development,Analyst/Research,Information Technology (IT) Computer Science Engineering Python Software Engineering NLP,13 days ago
15,AI Engineer - UAE,Yeah! Global,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Analyst/Research,Information Technology (IT) Computer Science Engineering Python Software Engineering NLP,13 days ago
16,Senior Data Scientist - 1 year FTC - Saudi Arabia relocation,Fathom.io,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Experienced,IT/Software Development,Analyst/Research,Information Technology (IT) SQL Python Engineering Data Analysis Software Development,16 days ago
17,Data Scientist,Presight,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Analyst/Research,Computer Science Information Technology (IT) SQL Data Science Data Scientist Machine Learning,18 days ago
18,Junior Data Scientist (Remote),Kreativstorm,Not mentioned,Riyadh,Saudi Arabia ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Analyst/Research,Python Information Technology (IT) SQL Data Science Data Analysis Java,23 days ago
19,Python Data Scientist (Quantitative Finance),Jobs via eFinancialCareers,Not mentioned,Dubai,United Arab Emirates ,Full Time,Not Mentioned,Entry Level,IT/Software Development,Analyst/Research,Computer Science Information Technology (IT) SQL Data Science Machine Learning Data Scientist,25 days ago
20,Data Scientist,Wakeb Data,Mohandessin,Giza,Egypt ,Full Time,Not Mentioned,Experienced,3 - 5 Yrs of Exp,IT/Software Development,data scientist Python,27 days ago
21,Senior Cost Accountant (Manufacturing Industry),Selah ElTelmeez For Publishing & printing,Obour City,Cairo,Egypt ,Full Time,Not Mentioned,Experienced,4 - 6 Yrs of Exp,Accounting/Finance,Communication Cost Accounting ERP System Finance Financial Management Cost English,13 days ago
